bet_id,p_blend,edge,price,market,game_id,k_mod,k_raw,k_eff,k_corr,stake,rank_in_game,cum_risk
2021_13_NE_BUF_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_13_NE_BUF,0.21,0.0,0.0,0.0,0.0,3.0,0.35005779420142885
2021_16_DEN_LV_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_16_DEN_LV,0.21,0.0,0.0,0.0,0.0,1.0,0.35005779420142885
2021_13_NE_BUF_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_13_NE_BUF,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2021_13_SF_SEA_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_13_SF_SEA,0.21,0.0,0.0,0.0,0.0,1.0,0.35005779420142885
2021_14_ATL_CAR_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_14_ATL_CAR,0.21,0.0,0.0,0.0,0.0,1.0,0.35005779420142885
2021_14_ATL_CAR_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_14_ATL_CAR,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2021_14_ATL_CAR_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_14_ATL_CAR,0.21,0.0,0.0,0.0,0.0,3.0,0.35005779420142885
2021_14_ATL_CAR_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_14_ATL_CAR,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2021_14_CHI_GB_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_14_CHI_GB,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2021_13_DEN_KC_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_13_DEN_KC,0.21,0.015107913669064053,0.0,0.0,0.0,2.0,0.35005779420142885
